Occupation,Total - Employment income statistics,With employment income,Median employment income,Average employment income,"With wages, salaries and commissions","Median wages, salaries and commisions","Average wages, salaries and commisions"
21390 Aerospace engineers,"5,785","5,600","94,000","94,000","5,485","94,000","94,600"
21399 Other professional engineers,"6,595","6,250","85,000","86,200","6,045","86,000","87,700"
22 Technical occupations related to natural and applied sciences,"565,895","540,385","58,400","61,800","516,780","59,600","63,200"
221 Technical occupations related to natural sciences,"75,615","71,330","46,400","51,750","67,005","48,400","53,300"
2210 Technical occupations in physical sciences,"21,850","20,975","59,600","68,500","20,640","60,000","68,600"
22100 Chemical technologists and technicians,"13,320","12,910","56,000","60,450","12,810","56,000","60,550"
22101 Geological and mineral technologists and technicians,"8,535","8,065","70,500","81,400","7,830","72,000","81,900"
2211 Technical occupations in life sciences,"53,760","50,350","41,200","44,760","46,365","43,200","46,440"
22110 Biological technologists and technicians,"11,025","10,570","45,200","46,920","10,345","45,600","47,280"
22111 Agricultural and fish products inspectors,"3,740","3,675","60,400","59,000","3,590","61,600","60,000"
22112 Forestry technologists and technicians,"7,240","6,955","52,800","53,000","6,655","54,400","54,300"
22113 Conservation and fishery officers,"3,955","3,845","62,800","58,150","3,785","64,000","58,800"
22114 Landscape and horticulture technicians and specialists,"27,800","25,310","31,000","37,480","21,990","33,600","39,360"
222 Technical occupations related to applied sciences (except engineering),"269,225","257,090","59,200","61,950","246,885","60,400","63,100"
"2221 Technical occupations in architecture, drafting, surveying, geomatics and meteorology","69,030","65,285","52,400","55,200","60,870","54,000","56,650"
22210 Architectural technologists and technicians,"14,700","13,885","50,000","52,850","12,670","50,800","53,800"
22211 Industrial designers,"11,495","10,560","52,800","59,400","9,520","55,600","62,350"
22212 Drafting technologists and technicians,"29,820","28,260","50,000","52,150","26,410","51,200","53,550"
22213 Land survey technologists and technicians,"3,540","3,395","49,200","52,450","3,315","49,600","52,700"
22214 Technical occupations in geomatics and meteorology,"9,475","9,180","65,000","64,400","8,950","66,000","65,200"
2222 Technical occupations in computer and information systems,"147,060","141,300","59,600","61,300","137,285","60,000","62,100"
22220 Computer network and web technicians,"70,545","67,875","65,500","66,700","65,635","66,500","67,800"
22221 User support technicians,"65,285","62,805","53,600","56,550","61,295","54,000","57,000"
22222 Information systems testing technicians,"11,235","10,615","48,800","55,000","10,350","50,400","55,800"
2223 Technical inspectors and regulatory officers,"53,135","50,505","70,000","72,600","48,740","71,500","74,000"
22230 Non-destructive testers and inspectors,"7,170","6,840","73,500","79,100","6,720","74,500","80,400"
22231 Engineering inspectors and regulatory officers,"7,455","7,285","81,000","85,100","7,250","81,000","85,200"
22232 Occupational health and safety specialists,"20,960","20,185","69,500","71,400","19,800","70,000","72,000"
22233 Construction inspectors,"17,550","16,195","64,500","65,600","14,970","67,000","68,500"
223 Technical occupations related to engineering,"221,055","211,970","61,200","65,000","202,890","62,400","66,600"
"2230 Technical occupations in civil, mechanical and industrial engineering","103,095","99,365","64,000","67,800","96,300","65,000","68,700"
22300 Civil engineering technologists and technicians,"23,680","23,035","61,600","62,500","22,640","62,000","62,900"
22301 Mechanical engineering technologists and technicians,"33,115","31,990","69,000","72,600","30,975","70,000","73,500"
22302 Industrial engineering and manufacturing technologists and technicians,"17,775","17,290","58,800","62,100","16,915","59,200","62,750"
22303 Construction estimators,"28,525","27,050","64,500","70,100","25,765","65,500","71,800"
2231 Technical occupations in electronics and electrical engineering,"117,965","112,605","58,000","62,550","106,590","60,000","64,800"
22310 Electrical and electronics engineering technologists and technicians,"47,425","45,670","66,500","69,500","44,195","68,000","71,000"
22311 Electronic service technicians (household and business equipment),"55,145","51,935","47,600","48,960","47,580","50,000","51,450"
22312 Industrial instrument technicians and mechanics,"9,620","9,310","91,000","97,100","9,210","92,000","98,100"
"22313 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors","5,775","5,685","75,500","74,800","5,620","76,000","75,200"
3 Health occupations,"1,601,710","1,526,490","50,800","61,250","1,420,310","50,800","59,000"
30 Specialized middle management occupations in health care,"39,060","37,925","95,000","96,300","37,185","95,000","96,400"
300 Specialized middle management occupations in health care,"39,060","37,925","95,000","96,300","37,185","95,000","96,400"
3001 Managers in health care,"39,060","37,925","95,000","96,300","37,185","95,000","96,400"
30010 Managers in health care,"39,060","37,925","95,000","96,300","37,185","95,000","96,400"
31 Professional occupations in health,"692,830","656,680","77,500","85,200","596,715","76,500","79,700"
311 Health treating and consultation services professionals,"225,375","204,205","93,000","118,200","168,940","85,000","102,700"
3110 Physicians and veterinarians,"124,000","110,235","118,000","147,200","88,390","92,000","122,200"
31100 Specialists in clinical and laboratory medicine,"37,655","33,665","145,000","171,000","27,415","112,000","143,000"
31101 Specialists in surgery,"11,120","9,785","149,000","182,000","8,450","127,000","156,000"
31102 General practitioners and family physicians,"63,175","55,660","116,000","138,400","42,650","84,000","109,900"
31103 Veterinarians,"12,055","11,125","84,000","88,800","9,870","85,000","88,100"
"3111 Dentists, optometrists and audiologists","44,430","39,395","76,500","86,300","28,480","71,500","80,700"
31110 Dentists,"24,565","20,515","86,000","100,000","13,965","79,000","95,500"
31111 Optometrists,"6,945","6,225","78,000","83,900","3,060","58,800","66,400"
31112 Audiologists and speech-language pathologists,"12,925","12,660","70,000","65,500","11,460","70,500","66,400"
3112 Pharmacists and dietitians,"56,945","54,580","85,000","82,600","52,070","85,000","81,700"
31120 Pharmacists,"44,855","42,985","95,000","89,400","41,415","95,000","87,600"
31121 Dietitians and nutritionists,"12,085","11,590","61,600","57,250","10,660","63,200","58,850"
312 Therapy and assessment professionals,"96,365","91,315","59,600","60,950","70,255","60,400","59,350"
3120 Therapy and assessment professionals,"96,365","91,315","59,600","60,950","70,255","60,400","59,350"
31200 Psychologists,"20,680","19,480","75,500","75,900","14,060","71,500","69,000"
31201 Chiropractors,"9,800","8,600","48,000","58,250","3,950","40,400","55,150"
31202 Physiotherapists,"28,055","26,865","62,800","61,100","22,400","63,600","60,600"
31203 Occupational therapists,"18,580","18,085","72,000","66,400","16,785","72,500","66,000"
31204 Kinesiologists and other professional occupations in therapy and assessment,"11,540","11,145","35,600","39,120","9,910","36,400","39,760"
31209 Other professional occupations in health diagnosing and treating,"7,720","7,140","30,200","43,120","3,150","22,000","38,880"
313 Nursing and allied health professionals,"371,085","361,160","76,000","72,600","357,525","76,500","72,700"
3130 Nursing and allied health professionals,"371,085","361,160","76,000","72,600","357,525","76,500","72,700"
31300 Nursing coordinators and supervisors,"15,020","14,815","84,000","79,800","14,675","84,000","80,000"
31301 Registered nurses and registered psychiatric nurses,"346,095","336,650","75,500","71,800","333,370","75,500","72,000"
31302 Nurse practitioners,"6,790","6,675","108,000","99,100","6,580","107,000","96,700"
"31303 Physician assistants, midwives and allied health professionals","3,185","3,020","69,500","65,200","2,900","71,000","65,500"
32 Technical occupations in health,"354,405","341,665","47,200","49,040","306,570","50,400","51,550"
321 Technical occupations in health (except practitioners of natural healing),"299,430","291,700","52,000","53,500","286,075","52,400","53,800"
3210 Technical occupations in therapy and assessment,"176,305","171,790","52,800","53,850","169,380","52,800","54,100"
32100 Opticians,"10,265","9,910","41,600","43,800","9,620","41,600","43,800"
32101 Licensed practical nurses,"78,340","76,350","54,400","51,600","75,595","54,800","51,800"
32102 Paramedical occupations,"31,870","31,345","80,000","77,500","31,155","80,000","77,800"
"32103 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists","13,855","13,565","77,000","74,100","13,440","77,000","74,100"
32104 Animal health technologists and veterinary technicians,"22,645","21,995","32,000","32,920","21,765","32,400","32,880"
32109 Other technical occupations in therapy and assessment,"19,325","18,625","36,800","38,480","17,805","38,000","38,840"
3211 Technical occupations in dental health care,"37,940","36,440","42,400","44,080","34,055","42,800","44,080"
32110 Denturists,"2,740","2,445","37,200","51,400","1,565","37,600","52,700"
32111 Dental hygienists and dental therapists,"29,705","28,820","43,600","44,320","27,825","43,600","44,240"
